他天生皮肤白，怎么晒都晒不黑。	伊/是/白肉底/，/按怎/曝/嘛/曝/袂/乌/。
床被睡得很温暖。	眠床/困/甲/真/烧/。
母语是文化发展的基础。	母语/是/文化/的/肥底/。
他不时来我们家串门子。	伊/三不五时/就/来/阮/兜/行踏/。
他生性很吝啬。	伊/做人/真/虬/。
他说那些话是为了发泄情绪，你听听就好。	伊/讲/遐的/话/是/为着/欲/敨气/，/你/听/了/准/煞/。
他因为扰乱治安，被警察抓走。	伊/因为/扰乱/治安/，/予/警察/掠去/。
你要参加一份吗？	你/欲/插一跤无/？
姑婆的先生我要叫他「姑公」。	姑婆/的/翁/我/爱/叫/伊/「/丈公/」/。
整间屋子静悄悄的，连半个人影都没有。	规/间/厝/恬恬/无声/，/连/半/个/人影/嘛/无/。
这块盘子有缺角。	这/块/盘仔/有/缺角/。
他仗着他老爸有名，四处骗吃骗喝。	伊/靠势/𪜶/老爸/有名/，/四界/骗食/。
这里人多杂处，你重要的东西要多注意一下。	遮/人/真/插杂/，/你/要紧/的/物件/着/较/斟酌咧/。
他是助手，不是师傅。	伊/是/二手/，/毋/是/头手/。
他说话的口气不会好。	伊/讲话/的/声嗽/无/通/好/。
你别看他穿得时髦，其实他只是一个皮条客罢了。	你/莫/看/伊/穿/甲/真/奅/，/其实/伊/是/一/个/牵猴仔/。
他是老师吗？	伊/敢是/老师/？
从那天以后，他就不曾再提起那件事了。	自/彼/工/了后/，/伊/就/毋/捌/阁再/提起/彼/层/代志矣/。
他站在外面被风吹。	伊/徛/伫/外口/飏风/。
他是有钱人，这些零钱对他来说是微不足道的。	伊/是/好额人/，/遮的/零星钱/对/伊/来/讲/是/毋成物/。
我的眼睛喷到水。	我/的/目睭/喷着/水/。
有人去密告，才会事迹败露。	有人/去/密告/，/代志/才/会/煏空/。
这间房子改装后光线比较好。	这/间/厝/改了/有/较/通光/。
这里是走山以后才变成这样的。	遮/是/走山/了后/才/变成/按呢/。
店里顾客很多。	店内/人客/真/济/。
他度量大，人家对他大小声他也不会记恨。	伊/真/好量/，/人/对/伊/歹声嗽/，/伊/嘛/袂/抾恨/。
今天怎会这么冷！	今仔日/哪/会/遮/寒着/！
你别在那里丢人现眼好不好？	你/莫/伫/遐/卸世众/好无/？
女主角演得很好。	女/主角/真/𠢕/演/。
他说那些话纯粹只是骗你。	伊/讲/遐/的/话/纯然/是/咧/骗你/。
我专程来看你。	我/刁工/来/看你/。
这是公司内部的问题。	这/是/公司/内部/的/问题/。
随便吃会肚子痛。	乌白/食/会/歹腹肚/。
你才五十岁而已，怎么就将棺木买好备用了。	你/今仔/五十/岁/尔尔/，/哪/会/未曾未/就/共/大寿/买/好矣/。
这次的台风走后又回头了。	这/改/的/风台/走/了后/又阁/翻头矣/。
你工作要好好地做，不可以学人家当不良少年。	你/工课/着爱/好好仔/做/，/毋通/学/人/做/歹囝/。
关税减轻，生意有比较好做。	关税/减轻/，/生理/有/较/好/做/。
他做事很迅捷。	伊/做/代志/真/伶俐/。
要不是她从中牵线，我和我太太也不会认识。	若毋是/伊/牵线/，/我/佮/阮/某/嘛/袂/熟似/。
门稍掩着，不要关紧。	门/小/𫟂咧/，/莫/关/絚/。
他的子女都很孝顺。	伊/的/囝儿/序细/拢/诚/有孝/。
现在只剩神明还有人负责扛轿。	这马/干焦/䞐/神明/犹/有/人/咧/共/扛轿/。
三餐都在外面吃。	三顿/拢/食外口/。
事情明明是你做的，你还要硬赖给别人。	代志/明明/是/你/做的/，/你/阁/欲/死赖人/。
他从去年到现在都没有工作。	伊/从/旧年/到今/拢/无/头路/。
车尾稍微有撞到。	车尾/有/略略仔/硞着/。
桑椹盛产的时候，来不及采摘，掉得满地都是。	盐桑仔/大出/的/时/，/挽/袂赴/，/落/甲/规/涂跤/。
你不要唆使人家吵架。	你/莫/拐弄/人/冤家/。
如果肯奋斗，一定会出头。	若是/肯/奋斗/，/一定/会/出头/。
昨晚跑了太久，害我今天脚肌肉酸疼。	昨暗/走/一下/伤/久/，/害/我/今仔日/跤/牚腿/。
他一心想要考上大学。	伊/规心/欲/考/大学/。
你这病不能拖太久。	你/这/个/病/是/袂当/延/伤/久/。
他老是做惹人怨的事，难怪被骂得一无是处。	伊/串做/拢/是/顾人怨/的/代志/，/莫怪/予/人/詈/甲/无/一/块/好/。
你实在很无理取闹！	你/实在/足/挐的/！
你打五筒，我就胡了！	你/拍/五筒/，/我/就/到矣/！
昨天电视上有报导两名不良少年在公园互砍。	昨昏/电视/有/报/讲/两/个/𨑨迌囡仔/伫/公园/相刣/。
他一开始说要去，后来却后悔。	伊/头仔/讲/欲/去/，/尾仔/煞/反悔/。
徒然拥有他家财万贯，竟反倒寒酸，一块钱都不肯捐献。	无彩/伊/家财/万贯/，/煞/颠倒/寒酸/，/一/箍/银/都/毋/肯/寄付/。
这条鱼刚刚还活蹦乱跳。	这/尾/鱼仔/头拄仔/犹阁/𧿳𧿳跳/。
他为人不错。	伊/做人/袂䆀/。
要吃饭或吃面我都没关系。	欲/食/饭/抑/食/面/我/拢/无差/。
要吃番茄的时候，蒂头得要摘下来。	柑仔蜜/欲/食/的/时/，/蒂头/爱/捻起来/。
再来这出戏是苦情戏，大家手帕要准备好。	阁/来/这/出/戏/是/苦出/，/逐家/手巾仔/着爱/攒/予/伊/好/。
他将西瓜从中剖成两半。	伊/将/西瓜/对/中央/破做/两/爿/。
他相隔很久才来一次。	伊/久久/才/来/一/摆/。
他故意要给你难看。	伊/存心/欲/予/你/歹看/。
他因为羞愧而生气，说话才会大呼小叫。	伊/见笑/转/受气/，/讲话/才/会/大细声/。
太久没运动，筋骨都生锈了。	伤/久/无/运动/，/筋骨/拢/生鉎去矣/。
这些工作都交给你来分派。	遮的/工课/拢/交/予/你/来/分派/。
他长得一张老脸，实在看不出才三十岁而已。	伊/生做/遮尔/臭老/，/实在/看/袂/出/来/才/三十/岁/尔尔/。
那个小孩很文静。	彼/个/囡仔/真/恬静/。
你别在那里发牢骚了。	你/莫/阁/伫/遐/咧/哭呻矣/。
你的头发湿湿的，去吹一吹风，会比较快干。	你/的/头毛/澹澹/，/去/弄风/弄弄咧/，/较/快/焦/。
这是我姪女，我大哥的女儿。	这/阮/查某孙/，/阮/大兄/的/查某囝啦/。
两个人一起搭档演出。	两/人/伨头/搬戏/。
我的妻子回娘家去了。	阮/某/转去/外家矣/。
一大串的荔枝	一/大/捾/的/荔枝
你不要乱吐口水！	你/莫/乌白/呸/喙澜/！
他的野心愈来愈大！	伊/的/野心/愈/来/愈/大/！
那家店早就倒了。	彼/间/店/早/就/倒矣/。
这件衣服颜色较深。	这/领/衫/色/较/深/。
小孩子都爱吃蛋糕。	囡仔/拢/真/爱/食/鸡卵糕/。
时钟修理好了。	时钟/修理/好矣/。
他开了一张十万元的支票给我当订金。	伊/开/一/张/十万/箍/的/手形/予我/做/定金/。
学英文要常常查字典，才会进步。	学/英文/爱/定定/掀/字典/，/才/会/进步/。
你们两个不要再在那里推拖了！	恁/两/个/莫/阁/伫/遐/挨推矣/！
看他发愣地在那儿两眼直视，神情恍惚，心事重重的样子。	看/伊/愣愣/伫/遐/拢/直目去/，/踅神/踅神/，/心事/重重/的/款/。
会计师明天要来我们公司查帐。	会计师/明仔载/欲/来/阮/公司/查数/。
小孩洗过澡后撒一点痱仔粉比较干爽。	囡仔/身躯/洗/好/糁/一屑仔/痱仔粉/较/焦松/。
没带牙刷，起码也得漱口，不然真不习惯。	无/扎/齿抿仔/，/上少/嘛/着/漉喙/，/无/，/真/袂/惯势/。
夏天喝啉酸梅汤，会止渴。	热人/啉/梅仔茶/，/会/止/喙焦/。
他需要人家搀扶着才站得住。	伊/爱/人/扶插/才/徛/会/牢/。
山上那群猴子常常下山来破坏人家的果园。	山顶/彼/阵/猴/定定/落/山/来/损荡/人/的/果子园/。
心脏快要停止了。	心脏/强欲/定去/。
发布台风警报。	发/风台/警报/。
你做这种不义之事，以后会不得好死。	你/做/这/种/侥幸/代/，/以后/会/袂/好死/。
法院的判决不公平，他要再上诉。	法院/的/判决/无/公平/，/伊/欲/阁/上诉/。
这张桌子摸起来沙沙的，要擦一擦。	这/块/桌仔/摸/着/沙沙/，/爱/拭拭咧/。
说话得要摸着良心，不可以血口喷人诬赖人家。	讲话/着/伸/手/摸/心肝/，/毋通/含血雾天/诬赖人/。
梨子很沉重，才几颗就已经三斤重了。	梨仔/诚/厚重/，/无/几/粒/就/三/斤矣/。
他在台北发生车祸，现在正等警方去处理。	伊/驶车/伫/台北/佮/人/相舂/，/这马/咧/等/警察/去/处理/。
为了身体健康，你最好戒烟。	为着/身体/健康/，/你/上好/改薰/。
早知道黄金会涨这么多，我早该多买些起来放。	欲知/金仔/会/起/大价/，/我/早/就/爱/加/买/寡/起来/囥/。
有没有和校长会面？	敢/有/见/校长/？
他说话的声调很低。	伊/讲话/声调/真/低/。
一只拖鞋甩得远远的。	一/跤/浅拖/𫝺/足/远的/。
别尖声叫喊了！很刺耳。	莫/吱/啦/！/足/噪耳的/。
他这阵仔因为胃穿孔开刀，正在住院。	伊/这站仔/因为/胃破空/手术/，/当咧/蹛院/。
好心的老板！可以施舍十块钱给我吗？	好心/的/头家/！/十箍银/来/分我/好无/？
我这礼拜为了他的事，失眠又伤神。	我/这/礼拜/为着/伊/的/代志/，/无眠/阁/损神/。
戏班在演戏。	戏班/咧/搬戏/。
她就是我的妻子。	伊/就/是/我/的/家后/。
你已经快三十岁了，不可以再放纵不务正业了。	你/食/欲/甲/三十矣/，/毋通/阁再/放荡落去矣/。
东西不要放反了。	物件/毋通/囥/颠倒反/。
住在都市交通比较方便。	蹛/伫/都市/交通/较/利便/。
那几个穷人冬天没有冬衣可穿，真的很可怜。	彼/几/个/散食人/寒天/时/无/寒衫/通/穿/，/实在/足/可怜的/。
他刚才从外头回来。	伊/拄才/对/外口/转来/。
那个坏人常常出来杀人，实在很可怕。	彼/个/歹人/定定/出来/刣/人/，/实在/真/惊人/。
我们夫妻年纪相仿。	阮/翁仔某/顶下岁/。
这部分是我管的，问我就好了。	这/部份/是/我/管的/，/问/我/就/好/。
人老了，牙齿都松动了。	人/老矣/，/喙齿/拢/摇橹矣/。
洗完澡马上出去吹风会感冒。	身躯/洗了/随/出去/弄风/会/去/寒着/。
金光党的骗术真高明，聪明人也会被骗。	金光党/的/骗术/真/高明/，/巧巧人/嘛/会/去/予/伊/骗去/。
人生于世，宛若出外寄居的旅客。	人生/在/世/，/亲像/出外/寄跤/的/旅客/。
我这么信任你，你却欺骗我，实在让人料想不到。	我/遮尔仔/信任你/，/你/煞/来/共/我/欺骗/，/实在/予/人/料想/袂/到/。
这些金额总计有一千元。	遮的/钱/额/共共咧/有/一/千/箍/。
那个人很奸诈狡猾，你要小心防范他。	彼/个/人/诚/奸巧/，/你/着爱/较/小心/提防咧/。
他呆呆的坐在那里，不知道在想什么。	伊/戆戆/坐/伫/遐/，/毋/知/咧/想啥/。
蜜饯吃起来的味道是酸中带甜。	咸酸甜/食起来/酸甘甜仔/酸甘甜/。
这颗枣子很脆。	这/粒/枣仔/真/脆/。
人还没送到医院就已经断气了。	人/犹未/送/到/病院/就/已经/绝气矣/。
她在屏风后面换衣服，你不要过去。	伊/伫/闸屏/后面/换/衫/，/你/毋通/过去/。
他怎么会变成傻傻的，到底发生什么事？	伊/哪/会/变做/悾悾/，/到底/是/发生/啥物/代志/？
这件衣服很合身。	这/领/衫/真/合躯/。
请问您贵姓？	请问/咱/贵姓/？
他专门骗别人的钱。	伊/专门/佬/人/的/钱/。
现在小孩子的玩具都很奇妙。	这马/囡仔/的/𨑨迌物/拢/真/奇巧/。
那一点点不够塞牙缝啦！	一屑仔/无够/通/楔/喙齿缝啦/！
她今年毕业，现在正在找工作。	伊/今年/毕业/，/这马/当咧/揣/头路/。
她聪明灵巧，交际手腕又好，所以朋友很多。	伊/人/伶俐/，/外交/阁/好/，/所以/朋友/诚/济/。
他要跟人家去当学徒。	伊/欲/缀/人/去/学/师仔/。
总统若出门，身边一定有保镳。	总统/若/出门/，/身躯边/一定/有/保镖/。
我们如果做一次忘恩负义的事情，下次就没人敢和我们做朋友了。	咱/若/做/一/摆/忘恩背义/的/代志/，/后摆/就/无/人/敢/佮/咱/做/朋友矣/。
他最喜欢故弄玄虚了。	伊/上/爱/变鬼变怪/。
我们去茶室喝茶聊天。	咱/来去/茶馆/啉/茶/开讲/。
你何时要娶老婆？	你/当时/欲/娶某/？
这个东西已经报销了。	这/个/物件/已经/报销去矣/。
他很会打拳。	伊/真/𠢕/拍拳头/。
他就好像我的亲人一样！	伊/就/若亲像/我/的/亲人/仝款/！
我来分配你们大家的工作。	我/来/分配/恁/逐家/的/工课/。
他的身材矮小了点。	伊/生做/较/细汉/。
他当了五十年的光棍，现在才想要结婚，人家说他是老了才出麻疹。	伊/做/十一哥/五十/冬矣/，/这马/才/想欲/娶某/，/人/讲/伊/是/食老出癖/。
那个女乞丐都四处去要饭吃。	彼/个/乞食婆/拢/四界/去/讨食/。
这种事情我没经验过。	这/种/代志/我/无/经验过/。
我和哥哥是同行的。	我/佮/阿兄/是/𫝛途的/。
他那双鞋子穿到脱底了才丢掉。	伊/彼/双/鞋/穿/甲/塌底/才/掷掉/。
酢酱草生命力强，很容易生长繁殖。	盐酸仔/足/臭贱的/，/真/𠢕/生湠/。
他是一个不中用的人，没有一件事做得好。	伊/是/一/个/无路用/人/，/无/一/项/代志/做/会/好势/。
有话就明讲，不要放在心里头。	有/话/就/明讲/，/毋通/囥/伫/心肝内/。
我们都来读书。	咱/拢/来/读册/。
下午的饭有烧焦味。	下昏暗/的/饭/有/臭火薰/味/。
那个外国人说台语常常会走音。	彼/个/外国人/讲/台语/定定/会/走音/。
要先学咱们的母语，再来认识别种的话语。	爱/先/学/咱/的/母语/，/才阁/认捌/别/种/的/话语/。
我一定会赢的啦！	我/稳/赢的啦/！
小孩子的口水滴下来了。	囡仔/的/喙澜/垂落来矣/。
什么好东西，吃得那么大声？	啥物/好食/物/，/食/甲/咂咂叫/？
这个旅行团的男性比女性少。	这个/旅行团/的/查埔人/比/查某人/较少/。
谢谢你帮我，事情才会这么快就做完。	感谢/你/共/我/斗相共/，/代志/才/会/遐尔/紧/就/做了/。
拿秤来量量看。	提/量仔/量/看咧/。
不要染上一些不好的习惯。	毋通/染着/歹/习惯/。
小心，不要滑倒。	细腻/，/毋通/跙倒/。
你这个卑鄙的小人。	你/这/个/卑鄙/的/小人/。
他们现在正年轻，还不知道要烦恼。	𪜶/这马/当/青春/，/犹/毋知/通/烦恼/。
今天不知道要演什么戏码。	今仔日/毋/知/欲/搬/啥物/出头/。
我们明天早上邀妳妯娌一起去庙里拜拜。	咱/明仔早起/招/恁/同姒仔/来去/庙里/拜拜/。
他很爱偷窃，你要注意一点。	伊/真/歹手爪/，/你/爱/较/注意咧/。
他真的是一个大傻瓜，我暗示他那么久还没有感觉！	伊/真正/是/一/个/大/瘾头/，/我/暗示/伊/遐/久/犹阁/无/感觉/！
我母亲在替人照顾小孩。	阮/老母/咧/替/人/骗囡仔/。
骑机车没戴安全帽会被警察取缔。	骑/机车/无/戴/安全帽仔/会/予/警察/取缔/。
钱被小偷偷走了！	钱/予/贼仔/偷提去矣/！
阿玉已经许配给别人了。	阿玉/已经/做人矣/。
他不只捐钱，还去当义工。	伊/不但/寄付/钱/，/阁/去/做/义工/。
你少不了要走一趟。	你/定着/爱/行一逝/。
台风过后，要去捡漂流木得要遵守法规。	风台/过/了后/，/欲/去/抾/大水柴/着爱/遵守/法规/。
他不听父母苦劝，跑去跟人家飙车，竟摔得死翘翘。	伊/毋/听/爸母/苦劝/，/走去/佮/人/较车/，/煞/摔/一下/死殗殗/。
我来泡面给你吃。	我/来/泡/面/予/你/食/。
景气这么差，三餐能温饱就很庆幸了。	时机/遐/䆀/，/三/顿/若/顾/会/齐匀/就/诚/佳哉矣/。
你别惹我生气。	你/莫/惹/我/受气/。
台北是一个四通八达的大城市。	台北/是/一/个/四通八达/的/大/城市/。
饭还没煮好，你先去吃一块饼充饥。	饭/犹未/煮/好/，/你/先/去/食/一/块/饼/止枵/。
金子折合现金。	金仔/折/现金/。
他是我的姑丈。	伊/是/阮/姑丈/。
孩子还小，你不要打得那么用力。	囡仔/犹阁/细汉/，/你/毋通/共/拍/甲/遐尔仔/大力/。
他迷上那个女孩子。	伊/去/煞着/彼/个/查某/囡仔/。
吃美国仙丹的副作用是脸会圆圆的。	食/美国仙丹/的/副作用/是/面/会/圆圆/。
你出门在外，自己千万要小心。	你/出门/在/外/，/家己/千万/爱/小心/。
他这样做真是自找麻烦。	伊/按呢/做/真正/是/咧/夯枷/。
狗用舌头舔肉。	狗仔/用/舌/咧/呐/肉/。
他一看到酒，就整个人都沈迷在其中。	伊/若/看着/烧酒/，/就/规个/人/拢/沬落去矣/。
你可以帮我一起扛这些米吗？	你/敢/会使/共/我/斗/扛/遮的/米/？
他说话会口吃，越紧张越严重。	伊/讲话/重句/，/愈/紧张/愈/严重/。
前面竖立了一根电线杆。	头前/徛/一/枝/电火柱仔/。
眼睛像他的爸爸。	目睭/像/𪜶/老爸/。
我们每一次经过那里，都会被树枝绊到。	阮/逐/摆/对/遐/行过/，/拢/会/予/树枝/刮着/。
你父亲等一下就要来带你回去。	恁/老爸/等咧/就/欲/来/𤆬/你/转去/。
这个话题是他起头的。	这/句/话/是/伊/提头的/。
冷冻库里的鱼拿出来退冰。	冷冻/的/鱼仔/提/出来/退冰/。
他的瘾头又发作了。	伊/阁/咧/瘾仙哥矣/。
这个地方生活舒适方便。	这/个/所在/真/好/徛起/。
他不知道在高兴什么，高兴得坐不住。	伊/毋/知/咧/畅/啥/，/畅/甲/坐/袂/牢/。
妳弟弟今年几岁了？	恁/小弟/今年/几/岁矣/？
这里的东西他一口气把它吃完。	遮/的/物件/伊/做/一困仔/共/伊/食了/。
你直直走，不用转弯就到了。	你/直直/行/，/免/转斡/就/到矣/。
我看他每天眉头深锁，心里也很难过。	我/看/伊/逐/工/目头/结结/，/心肝/嘛/真/艰苦/。
我只听到啪一声，火就烧起来了。	我/干焦/听着/擗/一/声/，/火/就/着起来矣/。
我比他更加不甘心。	我/比/伊/阁较/毋愿/。
车窗外的风景真的不错。	车/窗/外口/的/景致/诚实/袂䆀/。
苍蝇四处飞。	胡蝇/飏飏飞/。
公司倒闭的事情，对他打击很大。	公司/倒去/的/代志/，/予/伊/真/大/的/打击/。
他的计划还没完成。	伊/的/计划/犹未/完成/。
前辈讲的话你要多少听一点，才不会吃亏。	先辈/讲/的/话/你/爱/加减仔/听/，/才/袂/食亏/。
少一点，不要太多。	较/减咧/，/莫/伤/济/。
大碗是冬笋肉丝汤，小碗装香菇鸡汤。	大/碗/是/冬笋/肉丝/汤/，/细/碗/香菇/鸡/汤/。
就我所知，他不可能容许你乱来。	就/我/所/知/，/伊/无/可能/容允/你/乌白/来/。
他家的小孩子有很好的家教。	𪜶/兜/的/囡仔/家教/诚/好/。
我什么都不怕。	我/啥物/拢/毋/惊/。
你不来，他就不肯出面了。	你/毋/来/，/伊/就/无/欲/出面矣/。
乖孙子呀，过来奶奶这边。	乖/孙/，/过/来/阿妈/遮/。
我怎么想都想不通，他为什么要这么做。	我/较/按怎/想/都/想/袂晓/，/伊/是按怎/欲/按呢/做/。
你不要跑去那里扰乱人家。	你/毋通/走/去/遐/共/人/闹台/。
怎么说都不听。	按怎/讲/都/毋/听/。
这个礼物他中意。	这/个/礼物/有/合/伊/的/意/。
你真是老糊涂了，昨天的事今天就忘记了。	你/真正/咧/老颠倒矣/，/昨昏/的/代志/今仔日/就/袂记得/。
说话要有节制，不可戏言连篇。	讲话/爱/有/站节/，/毋通/笑话/讲/规/担/。
新的总经理很会筹钱，顺利解决公司的财务危机。	新/的/总经理/真/𠢕/转钱空/，/顺利/解决/公司/的/财务/危机/。
这种事情何必再问，不用想也知道。	这/款/代志/曷使/阁/问/，/土想/嘛/知/。
虾子剔除泥肠之后吃起来才比较少细沙。	虾仔/爱/掠沙筋/了后/食/着/较/无/沙屑/。
我不曾出过国。	我/毋/捌/出国过/。
以前的小孩子都会制作竹蜻蜓来玩。	以早/的/囡仔/拢/会晓/做/竹田婴/耍/。
后天老师要测验大家。	后日/老师/欲/共/逐家/测验/。
宜兰、鹿港的方言很有特色。	宜兰/、/鹿港/的/方言/真/有/特色/。
姊姊拿洋伞帮那位阿婆遮阳。	阿姊/攑/花仔伞/共/彼/个/阿婆/遮日/。
他想要将女儿嫁给阿勇伯他儿子。	伊/想/欲/共/𪜶/查某囝/做/予/阿勇伯仔/𪜶/后生/。
这有什么用处？	这/有/啥物/路用/？
有人说会成为夫妻是因为上辈子互相欠债。	人/讲/会/做/翁仔某/是/顶世人/相欠债/。
一人分摊三百就够了。	一/人/开/三百/就/有够矣/。
婴儿满月，奶奶很高兴，准备麻油鸡来招待亲戚、邻居。	婴仔/满月/，/阿妈/真/欢喜/，/备办/鸡酒/来/请/亲情/、/厝边/。
一般人都很爱面子。	一般/人/拢/真/爱/面子/。
家里的事情，我还不能置之不理。	厝里/的/代志/我/犹阁/袂当/放手/。
这件事情你最好别管。	这/件/代志/你/上好/是/莫/管/。
我们星期一要考试。	阮/拜一/欲/考试/。
他很爱面子，不喜欢让别人说闲话。	伊/真/惜/面皮/，/无/爱/予/人/讲/闲仔话/。
最近手头很紧，要去找朋友周转一下。	最近/手头/真/絚/，/爱/去/揣/朋友/转踅一下/。
这些东西你如果有需要就拿去。	遮/的/物件/你/若/有/欠用/就/提去/。
前人煎药都是用瓷药壶。	古早/人/煎/草药仔/拢/嘛/是/用/急烧仔/。
拿棍子从头上打下去。	攑/棍仔/对/头壳/共/伊/𢪱落去/。
鱼先划出痕迹再用盐腌制。	鱼仔/先/𠞭开/才/豉盐/。
痘子溃烂了。	𤶃仔/烂去矣/。
他们的交情很深。	𪜶/的/交陪/诚/深/。
这一点点东西那么多人要吃，一定无法满足大家。	这/屑仔/物件/遮/济/人/欲/食/，/一定/食/袂/够气/。
妈妈正在天井里晒被子。	阿母/当/咧/天井/内/曝/被/。
去人多的地方要小心一点，钱不要被扒手扒走。	去/人/济/的/所在/爱/较/斟酌咧/，/钱/毋通/去/予/剪绺仔/剪去/。
昨晚我整夜都没睡。	昨暗/我/透暝/拢/无/困/。
我被蚊子叮到。	我/予/蠓仔/叮着/。
你这样讲有道理。	你/按呢/讲/有/理/。
我被开水烫得起水泡，好痛喔。	我/予/滚水/烫/一下/膨疱/，/足/疼的/。
去把菜搅拌一下，否则会烧焦。	菜/去/抐抐咧/，/无/，/会/臭火焦/。
大学还没毕业，就要自己开店做生意。	大学/犹未/出业/，/未曾未/就/欲/家己/开店/做/生理/。
兄弟长大就得要分家了。	兄弟仔/大汉/着爱/随人食矣/。
他很爱捉弄小孩子。	伊/真/爱/创治/囡仔/。
眼泪抹不完。	目屎/掰/袂/离/。
别人凶他，他不但不怕，还与人争辩。	人/共/伊/歹/，/伊/毋但/毋/惊/，/阁/敢/佮/人/㧣/。
最近常常地震。	最近/定定/地动/。
你把东西摆在这儿，会被人撞到。	你/共/物件/囥/蹛/遮/，/会/去/予/人/撞着/。
这种兰花带贵气，很不容易培育。	这/款/兰花/真/贵气/，/无/好/种/。
祈求神明保佑我们全家平安。	求/神明/庇佑/咱/全/家/平安/。
我们暂时不要见面。	咱/暂时/莫/见面/。
你才刚离开没多久，他就来了。	你/才/走/无偌久/，/伊/就/来矣/。
他月底要去高雄看他儿子。	伊/月尾/欲/去/高雄/看/𪜶/后生/。
这件衣服本来是我的。	这/领/衫/本来/是/我/的/。
今天天气很闷热。	今仔日/天气/真/翕/。
今天有一个和尚来这里化缘。	今仔日/有/一/个/和尚/来/遮/化缘/。
你做那个是白做的。	你/做/彼/是/咧/了/戆工/。
听到飞机失事的消息，他整个人呆住了。	听着/飞机/失事/的/消息/，/伊/规个/人/愣去/。
我对篮球没兴趣。	我/对/篮球/无/兴趣/。
你忙了大半天到底弄好没？	你/舞/规半晡/是/舞好未/？
供桌上的香炉起火。	尪架桌/发炉/。
你不要还在那里胡思乱想，赶快做工作啦！	你/毋通/阁/伫/遐/想东想西/，/赶紧/做/工课啦/！
等阳光不那么烈时再灌溉，菜才不会枯萎。	日头/较/过咧/才/戽水/，/菜/才/袂/蔫蔫去/。
你别被他迷走。	你/莫/予/伊/邪去/。
双方所说的话没有出入。	双爿/讲/的/话/无/走縒/。
这件事我并没有经手，你别来问我。	这/件/代志/我/无/接手/，/你/莫/问我/。
懂得煮什锦面的面摊越来越少了。	会晓/煮/杂菜面/的/面担仔/愈/来/愈/少矣/。
 一直跑厕所，全是你的噱头。	不时/走/便所/，/专/是/你/的/诙谐/。
一切都是你们串通安排好的！	一切/拢/是/恁/套好的/！
没穿衣服会感冒。	无/穿/衫/会/感冒/。
他还没回来，菜先拨一些起来留给他。	伊/犹未/转来/，/菜/先/减/一寡/起来/留/予伊/。
他真是一个嗅觉灵敏的人，哪个地方有好吃的他都找得到。	伊/真正/是/一/个/好鼻狮/，/啥物/所在/有/好食的/伊/拢/揣/会/着/。
他做生意舍得降价求售。	伊/做生理/真/杀/。
你给我记住！	你/共/我/会/记咧/！
他每天一大早都要吃包子配豆浆。	伊/逐/工/透早/拢/爱/食/包仔/配/豆奶/。
他唱歌会走音。	伊/咧/唱歌/会/走音/。
气象报告说会晴天却下了雨。	气象/报告/讲/会/好天/煞/咧/落雨/。
你今晚上要和谁去约会？	你/下暗/欲/佮/啥人/去/冻露水/？
父母辛辛苦苦照顾你到大。	爸母/辛辛苦苦/共/你/捏/大汉/。
教会礼拜天最忙碌。	教会/礼拜日/上/无闲/。
整间房子布置得不错。	规/间/厝/布置/了/袂䆀/。
我说一句他就顶撞一句。	我/讲/一/句/伊/就/拄/一/句/。
冷风一直从门缝钻进来。	霜风/一直/对/门缝/贯入来/。
他一接口就开始骂。	伊/对喙/就/骂/。
你去把窗户关起来，雨水才不会泼洒进来。	你/去/共/窗仔门/关起来/，/才/袂/泼雨/。
我的事，你不要随便宣传。	我/的/代志/，/你/莫/乌白/去/宣传/。
抹布要常常洗。	桌布/爱/较/捷/洗咧/。
乌骨鸡的市价比肉鸡好。	乌骨鸡/的/市价/比/肉鸡仔/较/好/。
这个客户很难搞，我看你还是再找一个人跟你去好了。	这/个/客户/真/歹扭搦/，/我/看/你/阁/揣/一/个/人/佮/你/去/好矣/。
点蚊香来熏蚊子。	点/蠓仔香/薰/蠓/。
他的修养很好，都不会跟人家吵架。	伊/的/修养/真/好/，/拢/袂/佮/人/冤家/。
她不知道她老公在外面养女人。	伊/毋/知/𪜶/翁/伫/外口/饲查某/。
你不能放弃这个好机会。	你/毋通/放捒/这/个/好/机会/。
戏院五点才能进场。	戏园/五/点/才/会使/入场/。
这件事情很麻烦。	这/件/代志/费气费触/。
打零工的人收入不稳定。	做/散工/的/人/趁/的/钱/袂/齐匀/。
自己绑粽子较费工夫。	家己/缚粽/较/厚工/。
这些谢礼请你收下。	这/寡/谢金/请/你/收起来/。
现在孩子不需要全心照顾，你可以到处去玩了。	今/囡仔/离跤手矣/，/你/会使/去/四界/游矣/。
老板，香蕉一斤多少钱？	头家/，/弓蕉/一/斤/偌济/钱/？
有事情就叩我。	有/代志/才/呼我/。
他一向很努力。	伊/自早/就/真/拍拚/。
他是刚到任的员工。	伊/是/新进/的/员工/。
东西买中古的比较便宜。	物件/买/二手的/较/俗/。
他一直看报纸，头都没擡起来。	伊/做/伊/看/报纸/，/头/拢/无/担起来/。
喂！我一来，你就在挖苦我，让我很不爽。	无啊/！/我/一下/来/你/就/共/我/洗面/，/予/我/足/袂/爽的/。
我有一肚子的委屈。	我/有/满腹/的/委屈/。
把那两张桌子靠在一起。	共/彼/两/块/桌仔/合倚来/。
